Apr 29 04:45:30 2016.png,0.261529886
Apr 29 04:46:00 2016.png,0.304871757
Apr 29 04:46:30 2016.png,0.258853552
Apr 29 04:47:00 2016.png,0.26363963
Apr 29 04:47:30 2016.png,0.28861107
Apr 29 04:48:00 2016.png,0.270507813
Apr 29 04:48:30 2016.png,0.259070055
Apr 29 04:49:00 2016.png,0.249474867
Apr 29 04:49:30 2016.png,0.259894605
Apr 29 04:50:00 2016.png,0.265477594
Apr 29 04:50:30 2016.png,0.276095408
Apr 29 04:51:00 2016.png,0.27183907
Apr 29 04:51:30 2016.png,0.272073998
Apr 29 04:52:00 2016.png,0.264325988
Apr 29 04:52:30 2016.png,0.250548165
Apr 29 04:53:00 2016.png,0.253846366
Apr 29 04:53:30 2016.png,0.560058594
Apr 29 04:54:00 2016.png,0.256029813
Apr 29 04:54:30 2016.png,0.576369951
Apr 29 04:55:00 2016.png,0.56897203
Apr 29 04:55:30 2016.png,0.528905329
Apr 29 04:56:00 2016.png,0.832957142
Apr 29 04:56:30 2016.png,0.833215102
Apr 29 04:57:00 2016.png,0.281664578
Apr 29 04:57:30 2016.png,0.250819944
Apr 29 04:58:00 2016.png,0.877966539
Apr 29 04:58:30 2016.png,0.250819944
Apr 29 04:59:00 2016.png,0.25083837
Apr 29 04:59:30 2016.png,0.299173607
Apr 29 05:00:00 2016.png,0.258420548
Apr 29 05:00:30 2016.png,0.252713185
Apr 29 05:01:00 2016.png,0.25006449
Apr 29 05:01:30 2016.png,0.267315559
Apr 29 05:02:00 2016.png,8.42468492
Apr 29 05:02:30 2016.png,6.823232975
Apr 29 05:03:00 2016.png,0.302370467
Apr 29 05:03:30 2016.png,0.290246352
Apr 29 05:04:00 2016.png,0.262722951
Apr 29 05:04:30 2016.png,0.266030366
Apr 29 05:05:00 2016.png,0.278094598
Apr 29 05:05:30 2016.png,0.276703457
Apr 29 05:06:00 2016.png,0.250686358
Apr 29 05:06:30 2016.png,0.278776349
